Date;AveragePrice;TotalVolume;Income;type
04/01/2015;1.22;40873.28;49865.4016;conventional
04/01/2015;1.79;1373.95;2459.3705;organic
04/01/2015;1;435021.49;435021.49;conventional
04/01/2015;1.76;3846.69;6770.1744;organic
04/01/2015;1.08;788025.06;851067.0648;conventional
04/01/2015;1.29;19137.28;24687.0912;organic
04/01/2015;1.01;80034.32;80834.6632;conventional
04/01/2015;1.64;1505.12;2468.3968;organic
04/01/2015;1.02;491738;501572.76;conventional
04/01/2015;1.83;2192.13;4011.5979;organic
04/01/2015;1.4;116253.44;162754.816;conventional
04/01/2015;1.73;379.82;657.0886;organic
04/01/2015;0.93;5777334.9;5372921.457;conventional
04/01/2015;1.24;142349.77;176513.7148;organic
04/01/2015;1.19;166006.29;197547.4851;conventional
04/01/2015;2.13;2965.62;6316.7706;organic
04/01/2015;1.11;783068.03;869205.5133;conventional
04/01/2015;1.49;17723.17;26407.5233;organic
04/01/2015;0.88;228569.58;201141.2304;conventional
04/01/2015;1.34;8764.33;11744.2022;organic
04/01/2015;0.89;158638.04;141187.8556;conventional
04/01/2015;1.44;3930.94;5660.5536;organic
04/01/2015;0.74;1086363.97;803909.3378;conventional
04/01/2015;1.35;9895.96;13359.546;organic
04/01/2015;0.99;668086;661405.14;conventional
04/01/2015;1.42;22480.07;31921.6994;organic
04/01/2015;1.01;369694.27;373391.2127;conventional
04/01/2015;1.7;7446.43;12658.931;organic
04/01/2015;0.95;258979.63;246030.6485;conventional
04/01/2015;1.6;1012.61;1620.176;organic
04/01/2015;1.02;3382800.12;3450456.122;conventional
04/01/2015;1.54;61615.1;94887.254;organic
04/01/2015;1.05;203939.14;214136.097;conventional
04/01/2015;1.68;2896.72;4866.4896;organic
04/01/2015;1.06;332208.14;352140.6284;conventional
04/01/2015;2.32;4801.1;11138.552;organic
04/01/2015;0.71;1062990.62;754723.3402;conventional
04/01/2015;1.22;8938.32;10904.7504;organic
04/01/2015;1.02;160130.15;163332.753;conventional
04/01/2015;1.63;1780.6;2902.378;organic
04/01/2015;0.97;153506.84;148901.6348;conventional
04/01/2015;1.81;1381.31;2500.1711;organic
04/01/2015;0.8;317861.35;254289.08;conventional
04/01/2015;1.5;6329.83;9494.745;organic
04/01/2015;0.85;2682159.95;2279835.958;conventional
04/01/2015;1.25;54495.54;68119.425;organic
04/01/2015;0.92;101162.98;93069.9416;conventional
04/01/2015;1.48;1395.75;2065.71;organic
04/01/2015;0.97;540234.22;524027.1934;conventional
04/01/2015;1.82;2288.44;4164.9608;organic
04/01/2015;1.1;2578275.12;2836102.632;conventional
04/01/2015;1.56;58065.35;90581.946;organic
04/01/2015;1;162162.75;162162.75;conventional
04/01/2015;1.84;3966;7297.44;organic
04/01/2015;0.94;222751.51;209386.4194;conventional
04/01/2015;1.41;2604.25;3671.9925;organic
04/01/2015;1.09;1402890.2;1529150.318;conventional
04/01/2015;1.93;17328.24;33443.5032;organic
04/01/2015;1.09;3759282.62;4097618.056;conventional
04/01/2015;1.88;48280.46;90767.2648;organic
04/01/2015;1.05;321823.77;337914.9585;conventional
04/01/2015;1.83;7301.3;13361.379;organic
04/01/2015;1;281803.19;281803.19;conventional
04/01/2015;1.8;2057.29;3703.122;organic
04/01/2015;1.1;407675.56;448443.116;conventional
04/01/2015;1.72;3788.6;6516.392;organic
04/01/2015;0.65;1048062.16;681240.404;conventional
04/01/2015;1.12;17296.85;19372.472;organic
04/01/2015;1.52;54956.8;83534.336;conventional
04/01/2015;1.81;1339.36;2424.2416;organic
04/01/2015;1.01;1683795.3;1700633.253;conventional
04/01/2015;1.69;34190.37;57781.7253;organic
04/01/2015;0.97;599965.86;581966.8842;conventional
04/01/2015;1.28;32927.82;42147.6096;organic
04/01/2015;1.2;221086.46;265303.752;conventional
04/01/2015;2.01;3397;6827.97;organic
04/01/2015;1.13;182697.97;206448.7061;conventional
04/01/2015;1.54;4212.16;6486.7264;organic
04/01/2015;1.13;109215;123412.95;conventional
04/01/2015;1.39;4414.29;6135.8631;organic
04/01/2015;1.05;430138.88;451645.824;conventional
04/01/2015;1.33;9213.49;12253.9417;organic
04/01/2015;0.94;461607.33;433910.8902;conventional
04/01/2015;1.23;19089.36;23479.9128;organic
04/01/2015;0.99;907795.89;898717.9311;conventional
04/01/2015;1.18;22630.58;26704.0844;organic
04/01/2015;0.97;634522.34;615486.6698;conventional
04/01/2015;1.49;33795.91;50355.9059;organic
04/01/2015;1.01;309024.22;312114.4622;conventional
04/01/2015;1.86;3351.76;6234.2736;organic
04/01/2015;0.77;5144267.01;3961085.598;conventional
04/01/2015;1.35;53494.91;72218.1285;organic
04/01/2015;0.98;3204112.16;3140029.917;conventional
04/01/2015;1.75;27365.89;47890.3075;organic
04/01/2015;1;84612.39;84612.39;conventional
04/01/2015;1.3;5782.7;7517.51;organic
04/01/2015;1.15;198735.26;228545.549;conventional
04/01/2015;1.8;3597.07;6474.726;organic
04/01/2015;1.33;41143.51;54720.8683;conventional
04/01/2015;1.72;593.39;1020.6308;organic
04/01/2015;0.97;339909.13;329711.8561;conventional
04/01/2015;1.7;1885.48;3205.316;organic
04/01/2015;0.95;31324277.73;29758063.84;conventional
04/01/2015;1.46;612910.15;894848.819;organic
04/01/2015;0.89;5794410.58;5157025.416;conventional
04/01/2015;1.4;187548.3;262567.62;organic
04/01/2015;0.75;758118.95;568589.2125;conventional
04/01/2015;1.64;6182.81;10139.8084;organic
11/01/2015;1.24;41195.08;51081.8992;conventional
11/01/2015;1.77;1182.56;2093.1312;organic
11/01/2015;1.11;397542.72;441272.4192;conventional
11/01/2015;1.84;3743.82;6888.6288;organic
11/01/2015;1.17;670231.94;784171.3698;conventional
11/01/2015;1.22;26008.88;31730.8336;organic
11/01/2015;1.18;57355.52;67679.5136;conventional
11/01/2015;1.44;2378.68;3425.2992;organic
11/01/2015;1.1;437771.89;481549.079;conventional
11/01/2015;1.94;2217.82;4302.5708;organic
11/01/2015;1.54;106221.32;163580.8328;conventional
11/01/2015;1.59;2078.49;3304.7991;organic
11/01/2015;0.92;6024932.34;5542937.753;conventional
11/01/2015;1.1;158110.68;173921.748;organic
11/01/2015;1.26;159942.68;201527.7768;conventional
11/01/2015;2.29;2390.22;5473.6038;organic
11/01/2015;1.15;802874.94;923306.181;conventional
11/01/2015;1.79;12915.74;23119.1746;organic
11/01/2015;0.92;201392.27;185280.8884;conventional
11/01/2015;1.32;11313.77;14934.1764;organic
11/01/2015;0.97;125742.48;121970.2056;conventional
11/01/2015;1.68;4193.17;7044.5256;organic
11/01/2015;0.76;1128693.04;857806.7104;conventional
11/01/2015;1.35;12126.63;16370.9505;organic
11/01/2015;1.09;666579.35;726571.4915;conventional
11/01/2015;1.28;30682.77;39273.9456;organic
11/01/2015;1.08;332165.05;358738.254;conventional
11/01/2015;1.87;6926.75;12953.0225;organic
11/01/2015;1.03;185135.41;190689.4723;conventional
11/01/2015;1.87;761.86;1424.6782;organic
11/01/2015;1.1;3067638.32;3374402.152;conventional
11/01/2015;1.69;58061.65;98124.1885;organic
11/01/2015;1.26;178735.25;225206.415;conventional
11/01/2015;1.65;3882.88;6406.752;organic
11/01/2015;1.38;232640.15;321043.407;conventional
11/01/2015;2.28;3463.61;7897.0308;organic
11/01/2015;0.78;1062071.65;828415.887;conventional
11/01/2015;1.26;7561;9526.86;organic
11/01/2015;1.25;138617.04;173271.3;conventional
11/01/2015;1.83;1410.31;2580.8673;organic
11/01/2015;1.2;99757.17;119708.604;conventional
11/01/2015;1.91;1248.89;2385.3799;organic
11/01/2015;0.93;274481.48;255267.7764;conventional
11/01/2015;1.54;6144.55;9462.607;organic
11/01/2015;0.85;2713699.6;2306644.66;conventional
11/01/2015;1.08;60232.63;65051.2404;organic
11/01/2015;1.05;75129.36;78885.828;conventional
11/01/2015;1.79;1435.48;2569.5092;organic
11/01/2015;1.28;342796.99;438780.1472;conventional
11/01/2015;1.85;1614.56;2986.936;organic
11/01/2015;1.17;2335986.11;2733103.749;conventional
11/01/2015;1.52;65483.08;99534.2816;organic
11/01/2015;1.07;149832.2;160320.454;conventional
11/01/2015;1.92;2892.29;5553.1968;organic
11/01/2015;0.97;239232.35;232055.3795;conventional
11/01/2015;1.44;1492.44;2149.1136;organic
11/01/2015;1.34;1018225.83;1364422.612;conventional
11/01/2015;2.03;14817.97;30080.4791;organic
11/01/2015;1.28;3056024.77;3911711.706;conventional
11/01/2015;1.86;50079.81;93148.4466;organic
11/01/2015;1.06;314717.03;333600.0518;conventional
11/01/2015;1.88;6485.3;12192.364;organic
11/01/2015;1.29;202034.59;260624.6211;conventional
11/01/2015;1.92;1610.6;3092.352;organic
11/01/2015;1.38;315984.22;436058.2236;conventional
11/01/2015;1.63;6715.18;10945.7434;organic
11/01/2015;0.61;1110753.05;677559.3605;conventional
11/01/2015;1.36;14035.18;19087.8448;organic
11/01/2015;1.54;54644.32;84152.2528;conventional
11/01/2015;1.82;1663.25;3027.115;organic
11/01/2015;1.09;1402841.83;1529097.595;conventional
11/01/2015;1.68;37617.95;63198.156;organic
11/01/2015;1.05;510152.67;535660.3035;conventional
11/01/2015;1.22;43116.44;52602.0568;organic
11/01/2015;1.24;205760.67;255143.2308;conventional
11/01/2015;1.98;3862.72;7648.1856;organic
11/01/2015;1.15;194460.59;223629.6785;conventional
11/01/2015;1.66;2914.35;4837.821;organic
11/01/2015;1.16;113235.82;131353.5512;conventional
11/01/2015;1.47;5128.06;7538.2482;organic
11/01/2015;1.09;429492.28;468146.5852;conventional
11/01/2015;1.27;7598.26;9649.7902;organic
11/01/2015;0.82;544667.18;446627.0876;conventional
11/01/2015;1.05;20089.52;21093.996;organic
11/01/2015;1.03;916450.76;943944.2828;conventional
11/01/2015;1.12;29676.78;33237.9936;organic
11/01/2015;1.06;527350.82;558991.8692;conventional
11/01/2015;1.46;46687.01;68163.0346;organic
11/01/2015;1.1;279706.73;307677.403;conventional
11/01/2015;2.06;2304.3;4746.858;organic
11/01/2015;0.8;5409726.02;4327780.816;conventional
11/01/2015;1.39;53328.53;74126.6567;organic
11/01/2015;1.18;2433295.61;2871288.82;conventional
11/01/2015;1.83;23690.65;43353.8895;organic
11/01/2015;1.07;70697.07;75645.8649;conventional
11/01/2015;1.38;4780.87;6597.6006;organic
11/01/2015;1.29;164917.61;212743.7169;conventional
11/01/2015;1.84;3762.18;6922.4112;organic
11/01/2015;1.45;42017.49;60925.3605;conventional
11/01/2015;1.66;762.15;1265.169;organic
11/01/2015;1.24;235231.08;291686.5392;conventional
11/01/2015;1.84;1258.62;2315.8608;organic
11/01/2015;1.01;29063542.75;29354178.18;conventional
11/01/2015;1.42;669528.88;950731.0096;organic
11/01/2015;0.95;5333097.71;5066442.825;conventional
11/01/2015;1.39;223156.55;310187.6045;organic
11/01/2015;0.92;584896.99;538105.2308;conventional
11/01/2015;1.69;6861.73;11596.3237;organic
18/01/2015;1.17;44511.28;52078.1976;conventional
18/01/2015;1.93;1118.47;2158.6471;organic
18/01/2015;1.11;431490.99;478954.9989;conventional
18/01/2015;1.86;4294.01;7986.8586;organic
18/01/2015;1.23;657741.34;809021.8482;conventional
18/01/2015;1.41;14057.45;19821.0045;organic
18/01/2015;1.08;62870.49;67900.1292;conventional
18/01/2015;1.44;2973.94;4282.4736;organic
18/01/2015;1.23;401331.33;493637.5359;conventional
18/01/2015;2;2209.34;4418.68;organic
18/01/2015;1.52;107040.29;162701.2408;conventional
18/01/2015;1.64;1426.87;2340.0668;organic
18/01/2015;1.02;5570915.26;5682333.565;conventional
18/01/2015;1.24;195207.6;242057.424;organic
18/01/2015;1.25;152671.15;190838.9375;conventional
18/01/2015;2.15;2697.81;5800.2915;organic
18/01/2015;1.14;797741.43;909425.2302;conventional
18/01/2015;1.81;12499.87;22624.7647;organic
18/01/2015;0.93;175681.09;163383.4137;conventional
18/01/2015;1.37;10051.4;13770.418;organic
18/01/2015;1.02;116450.21;118779.2142;conventional
18/01/2015;1.84;4027.45;7410.508;organic
18/01/2015;0.76;1091677.29;829674.7404;conventional
18/01/2015;1.28;12634.71;16172.4288;organic
18/01/2015;0.99;808194.41;800112.4659;conventional
18/01/2015;1.1;42234.91;46458.401;organic
18/01/2015;1.1;291788.43;320967.273;conventional
18/01/2015;1.9;7656.72;14547.768;organic
18/01/2015;1.07;150201.39;160715.4873;conventional
18/01/2015;1.88;706.15;1327.562;organic
18/01/2015;1.08;3006207.02;3246703.582;conventional
18/01/2015;1.73;57646.9;99729.137;organic
18/01/2015;1.24;182604.68;226429.8032;conventional
18/01/2015;1.94;1355.5;2629.67;organic
18/01/2015;1.39;229216.05;318610.3095;conventional
18/01/2015;2.35;2552.09;5997.4115;organic
18/01/2015;0.77;1017854.16;783747.7032;conventional
18/01/2015;1.2;9979.64;11975.568;organic
18/01/2015;1.14;149319.82;170224.5948;conventional
18/01/2015;1.96;1083.8;2124.248;organic
18/01/2015;1.27;99496.16;126360.1232;conventional
18/01/2015;1.82;1403.1;2553.642;organic
18/01/2015;1.06;233186.09;247177.2554;conventional
18/01/2015;1.63;6032.31;9832.6653;organic
18/01/2015;0.89;2800679.5;2492604.755;conventional
18/01/2015;1.29;43649.12;56307.3648;organic
18/01/2015;1.06;85580.15;90714.959;conventional
18/01/2015;1.79;1106.86;1981.2794;organic
18/01/2015;1.3;405138.19;526679.647;conventional
18/01/2015;1.87;1459.37;2729.0219;organic
18/01/2015;1.19;2330829.2;2773686.748;conventional
18/01/2015;1.65;52559.1;86722.515;organic
18/01/2015;1.08;143464.64;154941.8112;conventional
18/01/2015;1.81;3118.58;5644.6298;organic
18/01/2015;1.03;267666.12;275696.1036;conventional
18/01/2015;0.98;4739.17;4644.3866;organic
18/01/2015;1.37;1044280.56;1430664.367;conventional
18/01/2015;2.08;9204.78;19145.9424;organic
18/01/2015;1.32;3066789.62;4048162.298;conventional
18/01/2015;1.94;35304.15;68490.051;organic
18/01/2015;1.12;309202.71;346307.0352;conventional
18/01/2015;1.88;7618.91;14323.5508;organic
18/01/2015;1.33;191078.37;254134.2321;conventional
18/01/2015;1.79;2151.76;3851.6504;organic
18/01/2015;1.4;331495.41;464093.574;conventional
18/01/2015;1.93;1699;3279.07;organic
18/01/2015;0.67;1088608.66;729367.8022;conventional
18/01/2015;1.36;12251.87;16662.5432;organic
18/01/2015;1.47;59312.07;87188.7429;conventional
18/01/2015;1.55;3448.42;5345.051;organic
18/01/2015;1.02;1674945.55;1708444.461;conventional
18/01/2015;1.8;29669.53;53405.154;organic
18/01/2015;1.11;439617.61;487975.5471;conventional
18/01/2015;1.24;51904.44;64361.5056;organic
18/01/2015;1.22;204504.99;249496.0878;conventional
18/01/2015;1.97;3496.27;6887.6519;organic
18/01/2015;1.18;179038.39;211265.3002;conventional
18/01/2015;1.62;3480.66;5638.6692;organic
18/01/2015;1.18;112106.05;132285.139;conventional
18/01/2015;1.48;5621.32;8319.5536;organic
18/01/2015;1.22;367047.36;447797.7792;conventional
18/01/2015;1.13;37233.34;42073.6742;organic
18/01/2015;1.01;461063.73;465674.3673;conventional
18/01/2015;1.29;14473.73;18671.1117;organic
18/01/2015;1.22;753746.51;919570.7422;conventional
18/01/2015;1.27;41482.48;52682.7496;organic
18/01/2015;1.2;463472.52;556167.024;conventional
18/01/2015;1.45;44616.23;64693.5335;organic
18/01/2015;1.15;276205.95;317636.8425;conventional
18/01/2015;1.93;3024.32;5836.9376;organic
18/01/2015;0.79;5322625.57;4204874.2;conventional
18/01/2015;1.27;65242.77;82858.3179;organic
18/01/2015;1.19;2595783.66;3088982.555;conventional
18/01/2015;1.79;25740;46074.6;organic
18/01/2015;1.18;69600.14;82128.1652;conventional
18/01/2015;1.44;4363.13;6282.9072;organic
18/01/2015;1.28;170590.85;218356.288;conventional
18/01/2015;1.92;2923.4;5612.928;organic
18/01/2015;1.4;40391.55;56548.17;conventional
18/01/2015;1.84;627.8;1155.152;organic
18/01/2015;1.27;228920.62;290729.1874;conventional
18/01/2015;1.73;1751.2;3029.576;organic
18/01/2015;1.03;29043458.85;29914762.62;conventional
18/01/2015;1.42;713120;1012630.4;organic
18/01/2015;0.96;5475363.01;5256348.49;conventional
18/01/2015;1.33;251749.94;334827.4202;organic
18/01/2015;0.8;729795.72;583836.576;conventional
18/01/2015;1.71;5508.2;9419.022;organic
25/01/2015;1.06;45147.5;47856.35;conventional
25/01/2015;1.89;1115.89;2109.0321;organic
25/01/2015;1.1;449332.85;494266.135;conventional
25/01/2015;1.87;3047.38;5698.6006;organic
25/01/2015;1.2;692934.46;831521.352;conventional
25/01/2015;1.41;15387.74;21696.7134;organic
25/01/2015;1.03;66069.21;68051.2863;conventional
25/01/2015;1.82;1174.53;2137.6446;organic
25/01/2015;1.17;409343.56;478931.9652;conventional
25/01/2015;2.01;1948.28;3916.0428;organic
25/01/2015;1.5;114052.94;171079.41;conventional
25/01/2015;1.6;1480.91;2369.456;organic
25/01/2015;1.06;4929884.26;5225677.316;conventional
25/01/2015;1.3;121698.02;158207.426;organic
25/01/2015;1.18;167270.13;197378.7534;conventional
25/01/2015;2.29;2694.11;6169.5119;organic
25/01/2015;1.22;745439.17;909435.7874;conventional
25/01/2015;1.83;10951.51;20041.2633;organic
25/01/2015;0.93;213554.45;198605.6385;conventional
25/01/2015;1.26;10191.82;12841.6932;organic
25/01/2015;1.08;116995.68;126355.3344;conventional
25/01/2015;1.67;4847.86;8095.9262;organic
25/01/2015;0.8;1008295.47;806636.376;conventional
25/01/2015;1.34;11247.71;15071.9314;organic
